./Dataset/dealeddata/appendicitis-svmstyle.txt
0th iteration
0.9048 0.7978 0.7143
0.8571 0.6728 0.5
0.8571 0.625 0.4
0.8571 0.6728 0.5
0.8571 0.6728 0.5
0.881 0.7353 0.6154
0.881 0.7353 0.6154
0.8571 0.6728 0.5
0.8571 0.6728 0.5
0.8571 0.6728 0.5
84th iteration
0.8333 0.5 0.0
0.8571 0.7429 0.5714
0.8571 0.7429 0.5714
0.8333 0.7286 0.5333
0.8571 0.7429 0.5714
0.8571 0.7429 0.5714
0.8571 0.7429 0.5714
0.8571 0.7429 0.5714
0.8571 0.7429 0.5714
0.8571 0.7429 0.5714
85th iteration
0.8333 0.7323 0.5882
0.8571 0.7475 0.625
0.8095 0.7172 0.5556
0.8095 0.7172 0.5556
0.8095 0.7172 0.5556
0.8333 0.7323 0.5882
0.8333 0.7323 0.5882
0.8333 0.7323 0.5882
0.8333 0.7323 0.5882
0.8333 0.7323 0.5882
86th iteration
0.9048 0.8056 0.6667
0.9048 0.8056 0.6667
0.881 0.6528 0.4444
0.9048 0.6667 0.5
0.9048 0.6667 0.5
0.9286 0.75 0.6667
0.9286 0.75 0.6667
0.9524 0.8333 0.8
0.9524 0.8333 0.8
0.9286 0.8194 0.7273
87th iteration
0.8571 0.5 0.0
0.9048 0.7361 0.6
0.9048 0.8056 0.6667
0.9048 0.8056 0.6667
0.9048 0.8056 0.6667
0.881 0.7917 0.6154
0.881 0.7917 0.6154
0.881 0.7917 0.6154
0.881 0.7917 0.6154
0.881 0.7917 0.6154
88th iteration
0.7619 0.5 0.0
0.8095 0.6 0.3333
0.7857 0.55 0.1818
0.881 0.7844 0.7059
0.8333 0.6844 0.5333
0.8095 0.6688 0.5
0.8333 0.6844 0.5333
0.8333 0.6844 0.5333
0.8333 0.6844 0.5333
0.8333 0.6844 0.5333
89th iteration
0.881 0.7222 0.6154
0.8333 0.7323 0.5882
0.8571 0.7475 0.625
0.8571 0.7475 0.625
0.8333 0.7323 0.5882
0.8333 0.7323 0.5882
0.8333 0.7323 0.5882
0.8333 0.7323 0.5882
0.8333 0.7323 0.5882
0.8571 0.7879 0.6667
90th iteration
0.9286 0.8077 0.5714
0.881 0.7821 0.4444
0.881 0.7821 0.4444
0.881 0.7821 0.4444
0.881 0.7821 0.4444
0.881 0.7821 0.4444
0.881 0.7821 0.4444
0.881 0.7821 0.4444
0.881 0.7821 0.4444
0.881 0.7821 0.4444
91th iteration
0.8333 0.7732 0.6957
0.8333 0.7732 0.6957
0.8333 0.752 0.6667
0.8095 0.7347 0.6364
0.8095 0.7347 0.6364
0.8095 0.7347 0.6364
0.8095 0.7347 0.6364
0.8095 0.7347 0.6364
0.8095 0.7347 0.6364
0.8095 0.7347 0.6364
92th iteration
0.7619 0.5 0.0
0.8333 0.6844 0.5333
0.8333 0.6844 0.5333
0.8333 0.6844 0.5333
0.8571 0.7344 0.625
0.8571 0.7344 0.625
0.881 0.7844 0.7059
0.881 0.7844 0.7059
0.8333 0.6844 0.5333
0.8571 0.7344 0.625
